image,num_rois,mean_intensity,std_intensity
Run36BR_bottom_right.tif,1062,47.0399,40.9706
Run36BR_top_left.tif,958,48.2664,42.8140
Run36BR_top_right.tif,978,47.7701,42.5698
Run36TL_bottom_left.tif,881,54.4998,48.0597
Run36TL_bottom_right.tif,876,54.1080,48.1634
Run36TL_top_left.tif,869,44.6967,43.1946
Run36TL_top_right.tif,919,41.0496,41.6988
Run36TR_bottom_left.tif,1017,49.9883,45.3708
Run36TR_bottom_right.tif,986,47.6744,43.8196
Run36TR_top_left.tif,971,39.4164,39.9335
Run36TR_top_right.tif,1024,37.3640,38.6429
Run37BL_bottom_left.tif,229,114.9773,90.6494
Run37BL_bottom_right.tif,364,120.0788,90.6084
Run37BL_top_left.tif,377,115.1003,88.9511
Run37BL_top_right.tif,294,118.1236,89.5527
Run37BR_bottom_left.tif,229,114.6017,88.3375
Run37BR_bottom_right.tif,195,115.0942,89.3859
Run37BR_top_left.tif,290,113.3996,88.4382
Run37BR_top_right.tif,254,117.0135,89.8646
Run37TL_bottom_left.tif,292,112.3941,87.1907
Run37TL_bottom_right.tif,275,112.5282,87.4295
Run37TL_top_left.tif,267,104.2435,84.4311
Run37TL_top_right.tif,212,105.3802,86.2759
Run37TR_bottom_left.tif,259,111.4261,86.7014
Run37TR_bottom_right.tif,256,111.6856,87.3436
Run37TR_top_left.tif,260,108.1084,85.6356
Run37TR_top_right.tif,252,104.7293,84.3356
Run38BL_bottom_left.tif,974,58.8943,49.5312
Run38BL_bottom_right.tif,843,58.1591,49.4830
Run38BL_top_left.tif,865,55.4572,47.7641
Run38BL_top_right.tif,746,55.5187,47.5388
Run38BR_bottom_left.tif,711,59.2637,50.3547
Run38BR_bottom_right.tif,749,58.7527,49.8899
Run38BR_top_left.tif,712,55.2230,47.9797
Run38BR_top_right.tif,796,53.8050,46.5552
Run38TL_bottom_left.tif,949,52.3129,46.2143
Run38TL_bottom_right.tif,589,55.7541,49.5039
Run38TL_top_left.tif,1112,40.5141,39.0915
Run38TL_top_right.tif,875,46.4163,43.2205
Run38TR_bottom_left.tif,666,55.2973,48.0287
Run38TR_bottom_right.tif,860,51.3391,43.8626
Run38TR_top_left.tif,924,45.7734,42.4449
Run38TR_top_right.tif,973,41.9297,39.0434
Run39BL_bottom_left.tif,732,35.2837,31.9427
Run39BL_bottom_right.tif,635,34.8800,31.4904
Run39BL_top_left.tif,752,33.1051,30.8853
Run39BL_top_right.tif,639,33.6826,31.3244
Run39BR_bottom_left.tif,863,33.3641,29.9750
Run39BR_bottom_right.tif,908,32.3365,29.5621
